1462579,0,0,0,0,0,0,0,1,0,0,1
1466298,0,0,0,0,0,0,0,1,0,0,1
1467352,0,0,0,0,0,0,0,1,0,0,1
1467387,0,0,0,0,0,0,0,1,0,0,1
1468817,0,0,0,0,0,0,0,1,0,0,1
1469401,0,0,0,0,0,0,0,1,0,0,1
1469440,0,0,0,0,0,0,0,1,0,0,1
1470454,0,0,0,0,0,0,0,1,0,0,1
1597390,0,0,0,0,0,0,0,1,0,0,1
1597455,0,0,0,0,0,0,0,1,0,0,1
1602738,0,0,0,0,0,0,0,1,0,0,1
1638138,0,1,0,0,0,0,0,1,0,0,1
1689537,38,4,0,0,0,0,50,1,111,0,1
1689638,40,2,0,0,0,0,50,1,111,0,1
1690322,39,1,0,0,0,0,50,1,111,0,1
1691092,32,2,0,0,0,0,50,1,111,0,1
1691154,33,3,0,0,0,0,50,1,111,0,1
